MUNICIPI,COMARCA,PROVINCIA,G,DA,N,E,S,C,U,Ch,HR,LLOC_NAIX,LLENGUA_IDENTIFICACIO,IMP_FAMILIA,IMP_AMICS,IMP_LLEURE,IMP_POLITICA,IMP_TREBALL,IMP_RELIGIO,SATIS_VIDA,CONFI_SOCIAL_WVS_1,SALUT,FELICITAT,ACTITUD_ECONOMIA,ACTITUD_IMMIGRACIO,ACTITUD_MEDIAMBIENT,DESIGUALTATS_GENERE,ECON_MERITOCRACIA,MEDIAMBIENT_CREIXEMENT,IMMIGRACIO_CULTURA,CONFI_POLICIA,CONFI_POLITICS,IDEOL_0_10,PERSONA_RELIGIOSA,DEPENDENCIA_ECO_PARES,INGRESSOS_1_15,INFO_POL_TV_FREQ,FREQ_CONSUM_INTERNET,Inglehart_index,Universalism,Stimulation,Hedonism,Self-Direction,Achievement,Power,Security,Conformity,Tradition,Benevolence
Barcelona,Barcelonès,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe mitjana,Treballo,2,2,A Catalunya,Català,Molt important,Bastant important,Bastant important,Bastant important,Bastant important,Gens important,8,Un mai no és prou prudent,Dolenta,Bastant feliç,En desacord,1,3,1,7,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",0 La vida cultural catalana s’empobreix,1,0 No hi confio en absolut,2,Una persona no religiosa,No,De 2.001 a 2.400 €,Amb menys freqüència,Tots els dies,1,6,4,3,4,2,2,4,4,3,4
Granollers,Vallès Oriental,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,8,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",9,1,2,2,Una persona no religiosa,No,De 4.001 a 4.500 €,5-6 dies per setmana,Tots els dies,1,5,3,4,4,3,4,4,3,4,4
Castellar del Vallès,Vallès Occidental,Barcelona,Masculí,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe treballadora alta,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Bastant important,Gens important,7,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Molt d’acord,2,3,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor",No crec que hi hagi un dilema entre protecció del medi ambient i creixement econòmic,5,1,2,2,Un/a ateu/a,No,De 4.001 a 4.500 €,5-6 dies per setmana,Tots els dies,2,6,3,4,4,2,2,4,3,3,3
Sabadell,Vallès Occidental,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Divorciat/ada,Classe treballadora baixa,Treballo,1,1,A Catalunya,Castellà,Molt important,Molt important,Molt important,Molt important,Molt important,Poc important,1,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Gens feliç,Molt d’acord,1,2,1,5,Altres,5,1,0 No hi confio en absolut,2,Un/a ateu/a,No,De 1001 a 1200 €,Mai,Tots els dies,3,2,2,4,0,0,4,0,2,2,4
 ,Terra Alta,Tarragona,Femení,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,Treballo,2,2,A Catalunya,Català,Molt important,Bastant important,Molt important,Bastant important,Bastant important,Gens important,8,Es pot confiar en la majoria de la gent,Molt bona,Bastant feliç,En desacord,3,3,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,2,0 No hi confio en absolut,1,Un/a ateu/a,No,De 4.001 a 4.500 €,3-4 dies per setmana,Tots els dies,6,6,4,3,4,1,1,2,4,2,3
Granollers,Vallès Oriental,Barcelona,Femení,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Poc important,Molt important,Poc important,6,Un mai no és prou prudent,Bona,Bastant feliç,D’acord,1,3,3,7,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,4,2,2,2,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,Amb menys freqüència,Tots els dies,3,3,2,2,2,2,2,2,2,2,2
Sabadell,Vallès Occidental,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Parella de fet,Classe treballadora mitjana,No treballo,1,3,A Catalunya,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Bastant important,8,Un mai no és prou prudent,Bona,Molt feliç,D’acord,1,1,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",4,2,0 No hi confio en absolut,3,Una persona religiosa,No,Valor perdut per prefereixo no contestar,Tots els dies,Tots els dies,4,5,3,3,3,4,1,2,3,3,3
Terrassa,Vallès Occidental,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Casat/ada,Classe treballadora baixa,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Poc important,Bastant important,Gens important,6,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,1,1,3,4,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",0 La vida cultural catalana s’empobreix,1,0 No hi confio en absolut,1,Una persona religiosa,No,De 1.201 a 1.800 €,3-4 dies per setmana,Tots els dies,0,5,1,2,3,1,1,4,1,3,4
Barcelona,Barcelonès,Barcelona,Masculí,6,"No, no tinc la ciutadania espanyola",Estudis universitaris,Vidu/a,Classe mitjana,Treballo,2,3,Fora d'Espanya,Altres opcions,Molt important,Bastant important,Bastant important,Poc important,Bastant important,Gens important,3,Un mai no és prou prudent,Bona,Bastant feliç,Molt d’acord,1,1,1,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",10 La vida cultural catalana s’enriqueix,1,3,2,Una persona no religiosa,No,Més de 6.000 €,1-2 dies per setmana,Tots els dies,0,4,0,2,4,3,4,4,0,2,4
Granollers,Vallès Oriental,Barcelona,Masculí,2,"No, no tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe treballadora mitjana,Treballo,1,3,Fora d'Espanya,Castellà,Bastant important,Poc important,Bastant important,Molt important,Molt important,Gens important,7,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,En desacord,3,3,2,10 Esforçar-se en el treball no acostuma a conduir a l’èxit. Això depèn més de la sort i els contactes,Altres,10 La vida cultural catalana s’enriqueix,2,2,2,Una persona no religiosa,No,No ho sé,Tots els dies,Tots els dies,3,5,4,2,4,0,2,2,4,2,2
Canet de Mar,Maresme,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Casat/ada,Classe treballadora mitjana,No treballo,2,1,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Poc important,8,Un mai no és prou prudent,Bona,Bastant feliç,D’acord,2,2,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,1,1,1,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,3-4 dies per setmana,Tots els dies,3,4,2,2,2,2,2,3,2,3,4
 ,Baix Empordà,Girona,Femení,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora baixa,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Bastant important,Poc important,Molt important,Gens important,6,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Bastant feliç,Ni d’acord ni en desacord,2,3,3,6,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,7,2,3,3,Una persona no religiosa,No,De 2.001 a 2.400 €,Amb menys freqüència,Amb menys freqüència,2,6,3,2,2,2,1,4,3,3,3
Mataró,Maresme,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola i una altra","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Parella de fet,Classe treballadora mitjana,Treballo,2,3,Fora d'Espanya,Castellà,Molt important,Molt important,Molt important,Poc important,Molt important,Molt important,6,Un mai no és prou prudent,Ni bona ni dolenta,No gaire feliç,En desacord,2,3,2,4,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,3,1,2,Una persona religiosa,No,De 1001 a 1200 €,3-4 dies per setmana,Tots els dies,0,6,4,4,4,2,2,4,4,4,3
Barcelona,Barcelonès,Barcelona,Femení,6,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana,Treballo,2,2,A d'altres comunitats autònomes,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,7,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,Molt en desacord,3,3,3,5,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",8,3,3,2,Un/a ateu/a,No,De 4.001 a 4.500 €,1-2 dies per setmana,Tots els dies,1,6,2,0,3,1,1,4,2,1,4
"Vendrell, el",Baix Penedès,Tarragona,Femení,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Català,Molt important,Poc important,Bastant important,Bastant important,Bastant important,Gens important,7,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,3,1,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",5,1,2,1,Un/a ateu/a,No,De 3.001 a 4.000 €,Tots els dies,Tots els dies,0,5,1,2,3,0,0,4,1,3,4
Cornellà de Llobregat,Baix Llobregat,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,Treballo,1,2,A Catalunya,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,8,Un mai no és prou prudent,Bona,Molt feliç,Ni d’acord ni en desacord,2,3,3,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,1,0 No hi confio en absolut,1,Un/a ateu/a,No,De 3.001 a 4.000 €,Tots els dies,Tots els dies,3,5,2,2,4,2,2,4,2,2,3
Barcelona,Barcelonès,Barcelona,Masculí,6,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana alta,Treballo,2,1,A Catalunya,Castellà,Molt important,Bastant important,Molt important,Molt important,Bastant important,Gens important,9,Es pot confiar en la majoria de la gent,Molt bona,Bastant feliç,En desacord,3,3,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",9,2,1,1,Un/a ateu/a,No,De 4.501 a 5.000 €,1-2 dies per setmana,Tots els dies,6,6,3,2,4,3,2,2,3,2,4
 ,Baix Llobregat,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe treballadora mitjana,No treballo,1,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Molt important,Gens important,6,Un mai no és prou prudent,Ni bona ni dolenta,No gaire feliç,D’acord,3,3,3,4,Altres,0 La vida cultural catalana s’empobreix,1,0 No hi confio en absolut,1,Una persona no religiosa,Sí,De 2.401 a 3.000 €,1-2 dies per setmana,Tots els dies,4,5,4,3,4,2,1,3,4,3,4
 ,Garraf,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe mitjana alta,No treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Bastant important,Molt important,Gens important,9,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,2,5,2,Una persona no religiosa,No,Més de 6.000 €,Tots els dies,Tots els dies,6,6,4,1,4,2,2,1,4,2,2
 ,Terra Alta,Tarragona,Femení,1,"No, no tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe mitjana,No treballo,1,3,A d'altres comunitats autònomes,Altres opcions,Molt important,Bastant important,Molt important,Bastant important,Molt important,Bastant important,8,Un mai no és prou prudent,Bona,Molt feliç,Ni d’acord ni en desacord,2,1,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor",S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,4,2,4,2,Una persona religiosa,No,No ho sé,3-4 dies per setmana,Tots els dies,2,5,2,2,3,3,2,4,2,4,4
"Hospitalet de Llobregat, l'",Barcelonès,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A d'altres comunitats autònomes,Castellà,Molt important,Molt important,Molt important,Bastant important,Bastant important,Gens important,9,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,3,3,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,3,1,1,Un/a ateu/a,No,De 3.001 a 4.000 €,3-4 dies per setmana,3-4 dies per setmana,6,6,3,4,4,3,1,4,3,3,4
Mataró,Maresme,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Casat/ada,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,7,Un mai no és prou prudent,Bona,Bastant feliç,Ni d’acord ni en desacord,2,3,3,5,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",5,2,0 No hi confio en absolut,1,Un/a ateu/a,No,De 1.201 a 1.800 €,3-4 dies per setmana,Tots els dies,1,6,3,4,4,2,3,4,3,1,4
Terrassa,Vallès Occidental,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Divorciat/ada,Classe treballadora mitjana,No treballo,1,1,A Catalunya,Català,Molt important,Bastant important,Molt important,Poc important,Molt important,Gens important,9,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,2,3,2,4,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",2,3,2,1,Un/a ateu/a,No,De 2.001 a 2.400 €,Amb menys freqüència,Tots els dies,1,6,4,4,4,4,2,3,4,3,4
Barcelona,Barcelonès,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Separat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Bastant important,Molt important,Molt important,Poc important,Bastant important,Gens important,6,Es pot confiar en la majoria de la gent,Bona,No gaire feliç,Ni d’acord ni en desacord,3,3,3,4,"S'ha de prioritzar el medi ambient malgrat que alenteixi el creixement econòmic, però han de convervar-se i/o augmentar",10 La vida cultural catalana s’enriqueix,2,1,1,Un/a ateu/a,No,De 1.801 a 2.000 €,Mai,Tots els dies,6,6,2,2,4,0,0,4,2,2,4
Olesa de Montserrat,Baix Llobregat,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,8,Un mai no és prou prudent,Dolenta,Molt feliç,Molt en desacord,3,3,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,3,0 No hi confio en absolut,2,Una persona no religiosa,No,De 4.001 a 4.500 €,Tots els dies,Tots els dies,1,6,4,4,4,3,2,4,4,4,4
Tàrrega,Urgell,Lleida,Masculí,6,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana alta,No treballo,2,1,A Catalunya,Català,Molt important,Bastant important,Poc important,Molt important,Gens important,Gens important,8,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Bastant feliç,Molt en desacord,3,3,2,7,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,2,3,3,Un/a ateu/a,No,De 2.401 a 3.000 €,5-6 dies per setmana,5-6 dies per setmana,6,5,2,2,4,1,2,3,2,2,4
Terrassa,Vallès Occidental,Barcelona,Masculí,2,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe treballadora baixa,Treballo,1,1,Fora d'Espanya,Castellà,Molt important,Bastant important,Molt important,Bastant important,Bastant important,Gens important,8,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Molt d’acord,2,2,2,3,Altres,5,2,0 No hi confio en absolut,3,Un/a ateu/a,Sí,De 1001 a 1200 €,Amb menys freqüència,Tots els dies,2,3,2,2,3,3,3,4,2,1,2
Cunit,Baix Penedès,Tarragona,Masculí,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Divorciat/ada,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Bastant important,Bastant important,Molt important,Gens important,7,Un mai no és prou prudent,Molt bona,Bastant feliç,Molt en desacord,3,1,2,4,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,1,1,Un/a ateu/a,No,De 4.001 a 4.500 €,3-4 dies per setmana,Tots els dies,4,6,1,1,3,1,0,2,1,2,3
"Hospitalet de Llobregat, l'",Barcelonès,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Castellà,Molt important,Bastant important,Bastant important,Bastant important,Molt important,Poc important,7,Un mai no és prou prudent,Bona,Bastant feliç,D’acord,2,3,3,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,3,1,Una persona no religiosa,Sí,De 4.001 a 4.500 €,3-4 dies per setmana,Tots els dies,3,5,4,4,4,2,2,4,4,3,4
Mataró,Maresme,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Divorciat/ada,Classe mitjana,Treballo,2,1,A Catalunya,Altres opcions,Molt important,Molt important,Molt important,Bastant important,Molt important,Poc important,9,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,3,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",9,3,8,2,Una persona no religiosa,No,De 3.001 a 4.000 €,3-4 dies per setmana,3-4 dies per setmana,4,6,2,3,4,2,2,2,2,3,4
Premià de Dalt,Maresme,Barcelona,Masculí,6,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe mitjana,Treballo,2,1,A d'altres comunitats autònomes,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,10 Molt satisfet/a,Es pot confiar en la majoria de la gent,Bona,Molt feliç,Molt d’acord,2,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",4,1,0 No hi confio en absolut,2,Un/a ateu/a,No,Valor perdut per prefereixo no contestar,5-6 dies per setmana,Tots els dies,4,6,1,2,3,2,1,4,1,3,4
Barcelona,Barcelonès,Barcelona,Femení,6,"Sí, tinc la ciutadania espanyola",No vaig finalitzar els estudis obligatoris (EGB o ESO),Vidu/a,Classe mitjana,No treballo,2,1,A Catalunya,Català,Molt important,Bastant important,Bastant important,Molt important,Molt important,Poc important,6,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,1,3,2,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",4,3,5,2,Una persona no religiosa,No,De 1001 a 1200 €,Tots els dies,Mai,4,5,2,3,4,1,3,4,2,4,4
Vilanova i la Geltrú,Garraf,Barcelona,Masculí,4,"No, no tinc la ciutadania espanyola","Formació professional de grau mig (FP1, CFGM i equivalents)",Casat/ada,Classe treballadora baixa,Treballo,2,3,Fora d'Espanya,Castellà,Molt important,Bastant important,Bastant important,Poc important,Bastant important,Molt important,4,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,No gaire feliç,D’acord,3,1,2,7,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",6,2,3,2,Una persona religiosa,No,De 901 a 1000 €,1-2 dies per setmana,Tots els dies,3,4,2,3,2,3,3,2,2,3,3
Esplugues de Llobregat,Baix Llobregat,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola",No vaig finalitzar els estudis obligatoris (EGB o ESO),Solter/a,Classe mitjana baixa,Treballo,1,3,A Catalunya,Castellà,Molt important,Molt important,Bastant important,Bastant important,Molt important,Poc important,7,Un mai no és prou prudent,Bona,Bastant feliç,Ni d’acord ni en desacord,1,3,3,10 Esforçar-se en el treball no acostuma a conduir a l’èxit. Això depèn més de la sort i els contactes,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",5,2,2,1,Un/a ateu/a,Sí,Valor perdut per prefereixo no contestar,Tots els dies,Tots els dies,0,6,3,4,4,3,3,4,3,4,4
Granollers,Vallès Oriental,Barcelona,Femení,5,"Sí, tinc la ciutadania espanyola","Formació professional de grau mig (FP1, CFGM i equivalents)",Parella de fet,Classe treballadora alta,Treballo,2,1,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Bastant important,Poc important,8,Es pot confiar en la majoria de la gent,Molt bona,Molt feliç,Ni d’acord ni en desacord,3,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",5,2,2,2,Una persona religiosa,No,De 3.001 a 4.000 €,3-4 dies per setmana,Tots els dies,3,6,1,2,3,2,2,4,1,4,4
Terrassa,Vallès Occidental,Barcelona,Femení,5,"No, no tinc la ciutadania espanyola","Formació professional de grau mig (FP1, CFGM i equivalents)",Divorciat/ada,Classe treballadora mitjana,No treballo,2,1,Fora d'Espanya,Altres opcions,Molt important,Bastant important,Molt important,Gens important,Bastant important,Poc important,7,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,2,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor",Altres,4,2,0 No hi confio en absolut,1,Una persona religiosa,No,De 1.801 a 2.000 €,3-4 dies per setmana,Tots els dies,3,6,3,4,3,0,1,2,3,3,4
Barcelona,Barcelonès,Barcelona,Femení,1,"No, no tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe mitjana alta,Treballo,1,3,Fora d'Espanya,Altres opcions,Molt important,Molt important,Bastant important,Poc important,Bastant important,Gens important,6,Es pot confiar en la majoria de la gent,Dolenta,Bastant feliç,Ni d’acord ni en desacord,3,1,2,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",4,1,1,2,Un/a ateu/a,Sí,Més de 6.000 €,Mai,Tots els dies,5,5,4,3,3,3,2,4,4,3,4
Lleida,Segrià,Lleida,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,1,1,A Catalunya,Castellà,Molt important,Molt important,Bastant important,Bastant important,Molt important,Gens important,7,Un mai no és prou prudent,Bona,Bastant feliç,Ni d’acord ni en desacord,3,3,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,1,3,1,Un/a ateu/a,No,De 2.001 a 2.400 €,Amb menys freqüència,Tots els dies,6,5,2,4,4,3,2,3,2,2,4
Barcelona,Barcelonès,Barcelona,Femení,6,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Casat/ada,Classe treballadora baixa,No treballo,2,3,A d'altres comunitats autònomes,Castellà,Molt important,Poc important,Poc important,Bastant important,Molt important,Gens important,3,Un mai no és prou prudent,Dolenta,Bastant feliç,Molt en desacord,2,3,2,4,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",3,2,4,2,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,3-4 dies per setmana,Tots els dies,3,6,0,1,4,0,0,4,0,2,4
Blanes,Selva,Girona,Femení,1,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Castellà,Molt important,Molt important,Bastant important,Bastant important,Molt important,Gens important,7,Un mai no és prou prudent,Bona,Bastant feliç,Ni d’acord ni en desacord,3,2,3,3,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",7,2,3,1,Un/a ateu/a,Sí,De 2.001 a 2.400 €,Amb menys freqüència,5-6 dies per setmana,2,4,3,4,3,1,1,3,3,2,4
Cornellà de Llobregat,Baix Llobregat,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Castellà,Molt important,Bastant important,Molt important,Bastant important,Poc important,Gens important,8,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Bastant feliç,Molt en desacord,3,3,3,8,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,1,5,1,Un/a ateu/a,No,De 2.401 a 3.000 €,Mai,Tots els dies,4,5,3,4,2,1,0,2,3,2,4
Tortosa,Baix Ebre,Tarragona,Masculí,5,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Casat/ada,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Bastant important,Gens important,7,Un mai no és prou prudent,Bona,Bastant feliç,Ni d’acord ni en desacord,1,2,3,7,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",3,3,0 No hi confio en absolut,2,Una persona no religiosa,No,No ho sé,Tots els dies,Tots els dies,3,4,2,3,4,1,0,2,2,3,4
